,Transfer Volume,Reaction Volume (nL),Destination Well,Source Plate Barcode,Source Plate Type,Source Well,Content,Destination_plate Type
106,550,3000 (nL),A11,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
107,550,3000 (nL),A12,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
108,475,3000 (nL),A13,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
109,475,3000 (nL),A14,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
110,475,3000 (nL),A15,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
111,425,3000 (nL),A16,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
112,425,3000 (nL),A17,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
113,425,3000 (nL),A18,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
114,350,3000 (nL),A19,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
115,350,3000 (nL),A20,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
116,350,3000 (nL),A21,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
117,300,3000 (nL),A22,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
118,300,3000 (nL),A23,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
119,300,3000 (nL),A24,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
120,250,3000 (nL),B01,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
121,250,3000 (nL),B02,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
122,250,3000 (nL),B03,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
123,175,3000 (nL),B04,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
124,175,3000 (nL),B05,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
125,175,3000 (nL),B06,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
126,750,3000 (nL),B07,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
127,750,3000 (nL),B08,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
128,750,3000 (nL),B09,384PP_AQ_BP_plate_1,384PP_AQ_BP,A05,H2O,384PP_Dest
